Tempo;Pessoas;Idade
31.092;XX;Jovem
27.331;XX;Jovem
24.874;XX;Jovem
27.369;XX;Jovem
28.125;XX;Jovem
29.607;XX;Jovem
30.05;XX;Jovem
27.512;XX;Jovem
29.684;XX;Jovem
29.236;XX;Jovem
30.032;XX;Idoso
31.221;XX;Idoso
33.719;XX;Idoso
33.713;XX;Idoso
30.019;XX;Idoso
29.01;XX;Idoso
27.692;XX;Idoso
33.004;XX;Idoso
30.163;XX;Idoso
30.633;XX;Idoso
29.092;XY;Jovem
25.331;XY;Jovem
22.874;XY;Jovem
25.369;XY;Jovem
26.125;XY;Jovem
27.607;XY;Jovem
28.05;XY;Jovem
25.512;XY;Jovem
27.684;XY;Jovem
27.236;XY;Jovem
37.378;XY;Idoso
43.07;XY;Idoso
42.281;XY;Idoso
37.187;XY;Idoso
41.086;XY;Idoso
38.526;XY;Idoso
40.879;XY;Idoso
41.508;XY;Idoso
38.686;XY;Idoso
40.171;XY;Idoso
