Riqueza,Area_ilhas
21,58.09009177
23,64.45662328
22,66.55410016
25,66.74843722
24,68.33305615
22,70.31555188
24,72.21720674
25,74.47353073
26,75.62171391
24,76.37047137
25,76.60296343
24,76.63873094
28,76.97566301
27,78.18792721
28,78.69747654
26,79.3956754
24,79.78198021
28,82.70700306
28,85.33189705
31,87.61051907
30,87.73559474
31,88.27589797
31,90.77941435
32,93.17731954
31,93.27205394
30,93.97685171
30,94.97329867
30,95.44290109
30,95.81680769
31,95.88612166
33,95.95212921
34,96.01353097
32,96.22308809
34,96.7239879
31,98.65683122
32,99.04815683
31,99.2794095
32,105.3273921
33,105.6090222
34,105.687918
37,107.2289549
35,110.0822974
36,111.6081337
36,113.9672983
38,115.6522592
